,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE,BUILT YEAR,COORDINATES
117,Single Family Residential,320 Ocean Ave,San Francisco,CA,94112-2532,1498888,5.0,3.0,Mission Terrace,2432.0,616.0,,37.7232378,-122.4436053,1931,"37.7232378,-122.4436053"
118,Single Family Residential,715 Foerster St,San Francisco,CA,94127,1735000,4.0,2.5,Miraloma Park,1909.0,909.0,25.0,37.734140999999994,-122.449219,1960,"37.734140999999994,-122.449219"
119,Condo/Co-op,501 Crescent Way #5107,San Francisco,CA,94134,728000,2.0,2.0,Candlestick Point,1095.0,665.0,540.0,37.711928799999995,-122.3886055,2006,"37.711928799999995,-122.3886055"
120,Condo/Co-op,875 Indiana St #324,San Francisco,CA,94107,975000,1.0,1.5,Central Waterfront,852.0,1144.0,523.0,37.759671600000004,-122.3908629,2009,"37.759671600000004,-122.3908629"
121,Single Family Residential,,San Francisco,CA,94124,925000,3.0,1.0,Bayview,1155.0,801.0,,37.73158660000001,-122.3860899,1961,"37.73158660000001,-122.3860899"
122,Single Family Residential,1710 Diamond St,San Francisco,CA,94131,4498800,4.0,3.5,Noe Valley,3645.0,1234.0,,37.7438471,-122.4358179,2014,"37.7438471,-122.4358179"
123,Condo/Co-op,235 Berry St #201,San Francisco,CA,94158,899000,1.0,1.0,Mission Bay,840.0,1070.0,689.0,37.774703,-122.39408929999999,2007,"37.774703,-122.39408929999999"
124,Single Family Residential,1 Byron Ct,San Francisco,CA,94112,1388000,4.0,3.0,Crocker Amazon,2003.0,693.0,,37.709635799999994,-122.4433842,1978,"37.709635799999994,-122.4433842"
125,Single Family Residential,439 E Princeton St,San Francisco,CA,94134,999000,4.0,2.5,Portola,1306.0,765.0,,37.724340600000005,-122.41406359999999,1949,"37.724340600000005,-122.41406359999999"
126,Condo/Co-op,3731 Fillmore St #6,San Francisco,CA,94123,995000,1.0,1.0,Marina,792.0,1256.0,430.0,37.8049149,-122.4375445,1928,"37.8049149,-122.4375445"
127,Single Family Residential,4118 20th St,San Francisco,CA,94114,3350000,4.0,3.5,Eureka Valley/Dolore,2287.0,1465.0,,37.7579691,-122.43298850000001,1905,"37.7579691,-122.43298850000001"
128,Single Family Residential,532 Lyon St,San Francisco,CA,94117,4695000,5.0,4.5,North Panhandle,3919.0,1198.0,,37.7758013,-122.44271280000001,1904,"37.7758013,-122.44271280000001"
129,Condo/Co-op,1140 Page St,San Francisco,CA,94117,2289000,3.0,2.0,Haight Ashbury,1850.0,1237.0,510.0,37.7721199,-122.43956740000002,2012,"37.7721199,-122.43956740000002"
130,Condo/Co-op,750 Lake St,San Francisco,CA,94118,1895000,2.0,2.0,Lake,,,,37.7867156,-122.46772460000001,nan,"37.7867156,-122.46772460000001"
131,Single Family Residential,137 Ashton Ave,San Francisco,CA,94112,1595000,3.0,2.5,Merced Heights,1605.0,994.0,,37.7207164,-122.46244750000001,1924,"37.7207164,-122.46244750000001"
132,Condo/Co-op,1832 Page St #2,San Francisco,CA,94117,995000,2.0,2.0,Haight Ashbury,990.0,1005.0,409.0,37.7706724,-122.4510696,1900,"37.7706724,-122.4510696"
133,Condo/Co-op,3395 Market St,San Francisco,CA,94114,825000,1.0,1.0,Eureka Valley/Dolore,742.0,1112.0,396.0,37.7579936,-122.44308259999998,1906,"37.7579936,-122.44308259999998"
134,Single Family Residential,1089 Clayton St,San Francisco,CA,94117,2190000,3.0,2.0,Buena Vista Park,1615.0,1356.0,,37.76279470000001,-122.4471883,1941,"37.76279470000001,-122.4471883"
135,Condo/Co-op,1 Hawthorne St Unit 6J,San Francisco,CA,94105,1395000,2.0,2.0,Yerba Buena,1247.0,1119.0,1269.0,37.7857356,-122.39895209999999,2010,"37.7857356,-122.39895209999999"
136,Single Family Residential,326 Brunswick St,San Francisco,CA,94112,1498000,4.0,3.0,Crocker Amazon,,,,37.7112595,-122.4416479,1942,"37.7112595,-122.4416479"
137,Single Family Residential,40 Hanover St,SAN FRANCISCO,CA,94112,998000,2.0,1.0,SAN FRANCISCO,818.0,1220.0,,37.7101765,-122.44028300000001,1946,"37.7101765,-122.44028300000001"
138,Condo/Co-op,471 Jersey St,San Francisco,CA,94114,1779000,3.0,1.5,Noe Valley,1555.0,1144.0,400.0,37.7501559,-122.435556,1923,"37.7501559,-122.435556"
139,Townhouse,1736 A 20th Ave,San Francisco,CA,94122,1450000,3.0,3.0,Central Sunset,2225.0,652.0,270.0,37.755423,-122.477333,2001,"37.755423,-122.477333"
140,Multi-Family (2-4 Unit),243-245 Corbett Ave,San Francisco,CA,94114,1998000,4.0,4.0,Corona Heights,2868.0,697.0,,37.761233399999995,-122.4436419,1975,"37.761233399999995,-122.4436419"
141,Condo/Co-op,2049 Ellis St,San Francisco,CA,94115,1595000,3.0,2.0,Anza Vista,2001.0,797.0,305.0,37.781132899999996,-122.43989499999999,1902,"37.781132899999996,-122.43989499999999"
142,Multi-Family (2-4 Unit),5139-5141 Geary Blvd,San Francisco,CA,94118,1995000,4.0,4.5,Central Richmond,3180.0,627.0,,37.7802735,-122.47469879999998,1921,"37.7802735,-122.47469879999998"
143,Single Family Residential,27 Starview Way,San Francisco,CA,94131,1395000,2.0,1.0,Midtown Terrace,1062.0,1314.0,,37.75000120000001,-122.45174420000001,1956,"37.75000120000001,-122.45174420000001"
144,Condo/Co-op,446 Collingwood St,San Francisco,CA,94114,1995000,3.0,2.0,Eureka Valley/Dolore,1570.0,1271.0,117.0,37.7552395,-122.4358996,1968,"37.7552395,-122.4358996"
145,Single Family Residential,1374 46th Ave,San Francisco,CA,94122,1098000,8.0,3.0,Outer Sunset,2204.0,498.0,,37.7609266,-122.5057497,1915,"37.7609266,-122.5057497"
146,Single Family Residential,649 28th St,San Francisco,CA,94131,1700000,2.0,1.0,Noe Valley,1138.0,1494.0,,37.7445324,-122.4367649,1941,"37.7445324,-122.4367649"
147,Condo/Co-op,1177 California St #1703,San Francisco,CA,94108,638000,0.0,1.0,Nob Hill,411.0,1552.0,932.0,37.791026200000005,-122.4136476,1978,"37.791026200000005,-122.4136476"
148,Condo/Co-op,1000 3rd St #303,San Francisco,CA,94158,1825000,2.0,2.0,Mission Bay,1234.0,1479.0,928.0,37.7752125,-122.39022759999999,2018,"37.7752125,-122.39022759999999"
149,Single Family Residential,133 Cresta Vista Dr,San Francisco,CA,94127,1898000,4.0,3.0,Westwood Highlands,2400.0,791.0,,37.735655,-122.45674220000001,1988,"37.735655,-122.45674220000001"
150,Multi-Family (2-4 Unit),337-339 Monterey Blvd,San Francisco,CA,94131,1595000,3.0,2.0,Sunnyside,2602.0,613.0,,37.7312751,-122.44294350000001,2016,"37.7312751,-122.44294350000001"
151,Townhouse,1338 Filbert St,San Francisco,CA,94109,3998000,3.0,3.5,Russian Hill,2751.0,1453.0,985.0,37.800098,-122.42153859999999,1906,"37.800098,-122.42153859999999"
152,Condo/Co-op,11 High St #203,San Francisco,CA,94114,1398000,2.0,2.0,Noe Valley,1208.0,1157.0,450.0,37.7488223,-122.44320049999999,1980,"37.7488223,-122.44320049999999"
153,Single Family Residential,579 Moscow St,San Francisco,CA,94112,1285000,5.0,3.0,Excelsior,2090.0,615.0,,37.7183955,-122.42952679999999,nan,"37.7183955,-122.42952679999999"
154,Multi-Family (5+ Unit),4740 Balboa St,San Francisco,CA,94121,11000000,6.0,,Outer Richmond,15659.0,702.0,,37.775393,-122.50978400000001,1928,"37.775393,-122.50978400000001"
155,Condo/Co-op,445 Francisco St Unit F601,San Francisco,CA,94133,2198000,2.0,2.0,North Beach,1311.0,1677.0,,37.8046669,-122.4126295,2001,"37.8046669,-122.4126295"
156,Multi-Family (5+ Unit),3830 19th St,San Francisco,CA,94114,2800000,6.0,,Eureka Valley/Dolore,4740.0,591.0,,37.7598626,-122.4290725,1913,"37.7598626,-122.4290725"
157,Condo/Co-op,1244 12th Ave,San Francisco,CA,94122,1275000,3.0,1.5,Inner Sunset,1249.0,1021.0,200.0,37.764947899999996,-122.46926599999999,1905,"37.764947899999996,-122.46926599999999"
158,Single Family Residential,198 Bradford St,San Francisco,CA,94110,1498000,4.0,2.0,Bernal Heights,1940.0,772.0,,37.739886600000006,-122.4098379,nan,"37.739886600000006,-122.4098379"
159,Multi-Family (2-4 Unit),635-637 Baker St,San Francisco,CA,94117,2775000,8.0,5.0,North Panhandle,4200.0,661.0,,37.7770339,-122.4419544,1900,"37.7770339,-122.4419544"
160,Condo/Co-op,875 Indiana St #326,SAN FRANCISCO,CA,94107,989000,1.0,1.5,SAN FRANCISCO,855.0,1157.0,524.0,37.759671600000004,-122.3908629,2009,"37.759671600000004,-122.3908629"
161,Condo/Co-op,333 Beale St Unit 4C,San Francisco,CA,94105,1228000,1.0,1.5,South Beach,916.0,1341.0,1134.0,37.788493700000004,-122.3918797,2015,"37.788493700000004,-122.3918797"
162,Single Family Residential,240 Chenery St,San Francisco,CA,94131,4500000,4.0,4.5,Glen Park,3650.0,1233.0,,37.7384164,-122.4267064,1908,"37.7384164,-122.4267064"
163,Condo/Co-op,1755 Jackson St #406,San Francisco,CA,94109,2250000,3.0,3.0,Pacific Heights,1906.0,1180.0,750.0,37.793537799999996,-122.4240021,1923,"37.793537799999996,-122.4240021"
164,Multi-Family (5+ Unit),402 Duboce Ave,San Francisco,CA,94117,6350000,17.0,,Duboce Triangle,9399.0,676.0,,37.769595100000004,-122.43015559999999,1908,"37.769595100000004,-122.43015559999999"
165,Condo/Co-op,81 Lansing St #410,San Francisco,CA,94105,949000,1.0,1.0,South Beach,855.0,1110.0,743.0,37.785639200000006,-122.39400659999998,1995,"37.785639200000006,-122.39400659999998"
166,Multi-Family (2-4 Unit),729-733 Vallejo St,San Francisco,CA,94133,1299000,6.0,2.0,North Beach,3660.0,355.0,,37.79831970000001,-122.40931840000002,1906,"37.79831970000001,-122.40931840000002"
167,Townhouse,2001 McAllister St #254,San Francisco,CA,94118,1450000,2.0,2.5,North Panhandle,1407.0,1031.0,931.0,37.7763812,-122.4456902,2002,"37.7763812,-122.4456902"
168,Single Family Residential,4073-4075 17th St,San Francisco,CA,94114,2795000,3.0,3.0,Corona Heights,2336.0,1196.0,,37.7622875,-122.43670549999999,1907,"37.7622875,-122.43670549999999"
169,Single Family Residential,3020 Scott St,San Francisco,CA,94123,3980000,3.0,3.5,Cow Hollow,2400.0,1658.0,,37.7980388,-122.4405642,1900,"37.7980388,-122.4405642"
170,Condo/Co-op,338 Main St Unit 35D,San Francisco,CA,94105,1498000,1.0,1.0,South Beach,963.0,1556.0,1143.0,37.78867329999999,-122.39141780000001,2016,"37.78867329999999,-122.39141780000001"
171,Multi-Family (5+ Unit),674-678 Haight St,San Francisco,CA,94117,3100000,9.0,,Hayes Valley,5655.0,548.0,,37.7719836,-122.43336670000001,1890,"37.7719836,-122.43336670000001"
172,Condo/Co-op,2200 Sacramento St #1305,San Francisco,CA,94115,2050000,1.0,2.0,Pacific Heights,,,682.0,37.790681400000004,-122.42949840000001,1964,"37.790681400000004,-122.42949840000001"
173,Condo/Co-op,1333 Jones St #1609,San Francisco,CA,94109,1250000,1.0,1.0,Nob Hill,,,1185.0,37.793621,-122.41488229999999,1961,"37.793621,-122.41488229999999"
174,Condo/Co-op,2946 Pierce,San Francisco,CA,94123,4250000,3.0,3.5,Cow Hollow,2798.0,1519.0,300.0,37.797331,-122.438648,nan,"37.797331,-122.438648"
175,Single Family Residential,867 27th Ave,San Francisco,CA,94121,799950,3.0,2.0,Central Richmond,1666.0,480.0,,37.7730701,-122.48668090000001,1931,"37.7730701,-122.48668090000001"
176,Single Family Residential,366 Quintara St,San Francisco,CA,94116,1325000,2.0,1.0,Golden Gate Heights,,,,37.7490791,-122.4695788,1949,"37.7490791,-122.4695788"
177,Single Family Residential,311 Amber Dr,San Francisco,CA,94131,2350000,3.0,2.0,Diamond Heights,1648.0,1426.0,,37.7445366,-122.44227839999999,1963,"37.7445366,-122.44227839999999"
178,Condo/Co-op,1177 California St #623,San Francisco,CA,94108,725000,1.0,1.0,Nob Hill,706.0,1027.0,1139.0,37.791026200000005,-122.4136476,1978,"37.791026200000005,-122.4136476"
179,Single Family Residential,46 Porter St,SAN FRANCISCO,CA,94110,1199000,3.0,2.0,SAN FRANCISCO,1420.0,844.0,,37.734394200000004,-122.41837759999999,1900,"37.734394200000004,-122.41837759999999"
180,Single Family Residential,78 Cotter St,San Francisco,CA,94112,995000,4.0,3.0,San Francisco County,1580.0,630.0,,37.7280723,-122.4343947,1905,"37.7280723,-122.4343947"
181,Single Family Residential,63 Carmel St,San Francisco,CA,94117,3650000,4.0,4.5,Parnassus/Ashbury Heights,4588.0,796.0,,37.7607091,-122.44804679999999,1922,"37.7607091,-122.44804679999999"
182,Single Family Residential,930 Naples St,San Francisco,CA,94112,1250000,3.0,2.0,Excelsior,1540.0,812.0,,37.715078000000005,-122.43589899999999,1921,"37.715078000000005,-122.43589899999999"
183,Condo/Co-op,965 Folsom St #202,San Francisco,CA,94107,1100000,1.0,1.5,South of Market,1547.0,711.0,705.0,37.7790012,-122.40448500000001,2000,"37.7790012,-122.40448500000001"
184,Condo/Co-op,222 Eureka St,San Francisco,CA,94114,1495000,2.0,1.5,Eureka Valley/Dolore,1365.0,1095.0,375.0,37.758628,-122.43838799999999,1902,"37.758628,-122.43838799999999"
185,Condo/Co-op,4397 25th St,San Francisco,CA,94114,1399000,3.0,1.0,Noe Valley,1339.0,1045.0,430.0,37.749249,-122.43815,1908,"37.749249,-122.43815"
186,Condo/Co-op,280 Spear St Unit 4U,San Francisco,CA,94105,945000,1.0,1.0,South Beach,671.0,1408.0,1078.0,37.7903739,-122.3913812,2020,"37.7903739,-122.3913812"
187,Single Family Residential,663 Marina Blvd,San Francisco,CA,94123,9250000,6.0,6.5,Marina,5420.0,1707.0,,37.8052169,-122.4447837,1937,"37.8052169,-122.4447837"
188,Single Family Residential,1401 Shafter Ave,San Francisco,CA,94124,980000,3.0,2.5,Bayview,1412.0,694.0,,37.7288266,-122.3872686,1929,"37.7288266,-122.3872686"
189,Multi-Family (2-4 Unit),1061-1065 Oak St,San Francisco,CA,94117,2500000,4.0,2.0,Hayes Valley,3418.0,731.0,,37.772929100000006,-122.4367287,1900,"37.772929100000006,-122.4367287"
190,Single Family Residential,454 32nd Ave,SAN FRANCISCO,CA,94121,1888000,3.0,3.5,SAN FRANCISCO,1968.0,959.0,,37.7806473,-122.49203090000002,1924,"37.7806473,-122.49203090000002"
191,Condo/Co-op,388 Fulton St #310,San Francisco,CA,94102,310798,0.0,1.0,Hayes Valley,347.0,896.0,445.0,37.7790409,-122.4231102,2016,"37.7790409,-122.4231102"
192,Condo/Co-op,301 Mission St Unit 3H,San Francisco,CA,94105,754000,1.0,1.0,Yerba Buena,773.0,975.0,1531.0,37.7903824,-122.39615309999999,2009,"37.7903824,-122.39615309999999"
193,Condo/Co-op,4475 24th St #4,San Francisco,CA,94114,1750000,3.0,2.0,Noe Valley,1654.0,1058.0,308.0,37.7506157,-122.4422679,1979,"37.7506157,-122.4422679"
194,Condo/Co-op,1075 Market St #612,San Francisco,CA,94103,890000,1.0,1.0,699 - Not Defined,662.0,1344.0,738.0,37.7807996,-122.4118342,2018,"37.7807996,-122.4118342"
195,Condo/Co-op,461 2nd St Unit C135,San Francisco,CA,94107,1189000,1.0,1.0,South Beach,1317.0,903.0,709.0,37.7834473,-122.3936481,1907,"37.7834473,-122.3936481"
196,Multi-Family (2-4 Unit),1642-1644 Waller St,San Francisco,CA,94117,1995000,,,Haight Ashbury,2713.0,735.0,,37.7687206,-122.45135859999999,1904,"37.7687206,-122.45135859999999"
197,Condo/Co-op,2468 Bush Unit A,San Francisco,CA,94115,698000,1.0,1.0,Lower Pacific Height,,,188.0,37.786645,-122.43789850000002,1900,"37.786645,-122.43789850000002"
198,Condo/Co-op,1333 Jones St #1102,San Francisco,CA,94109,2199000,1.0,2.0,Nob Hill,1590.0,1383.0,1592.0,37.793621,-122.41488229999999,1960,"37.793621,-122.41488229999999"
199,Single Family Residential,1759 8th Ave,San Francisco,CA,94122,1325000,3.0,2.0,Inner Sunset,1760.0,753.0,,37.755515,-122.464973,1925,"37.755515,-122.464973"
200,Single Family Residential,1547 Thomas Ave,SAN FRANCISCO,CA,94124,899000,2.0,1.5,SAN FRANCISCO,1425.0,631.0,,37.729713700000005,-122.3904951,1941,"37.729713700000005,-122.3904951"
201,Condo/Co-op,3714 23rd St,San Francisco,CA,94114,1525000,3.0,2.0,Noe Valley,,,223.0,37.753561,-122.42577790000001,1900,"37.753561,-122.42577790000001"
202,Condo/Co-op,199 Tiffany Ave #210,San Francisco,CA,94110,1249000,2.0,2.0,Bernal Heights,1171.0,1067.0,731.0,37.744274,-122.4213436,2004,"37.744274,-122.4213436"
203,Single Family Residential,1500 Visitacion Ave,San Francisco,CA,94134,949000,3.0,2.0,San Francisco,1068.0,889.0,,37.7131716,-122.4135547,1944,"37.7131716,-122.4135547"
204,Single Family Residential,1246 47th Ave,San Francisco,CA,94122,650000,1.0,1.0,Outer Sunset,550.0,1182.0,,37.763296399999994,-122.50678070000001,1923,"37.763296399999994,-122.50678070000001"
205,Condo/Co-op,201 Folsom St Unit 6G,San Francisco,CA,94105,1795000,2.0,2.0,South Beach,1401.0,1281.0,1216.0,37.788705900000004,-122.3922385,2016,"37.788705900000004,-122.3922385"
206,Single Family Residential,1244 47th Ave,San Francisco,CA,94122,1088888,2.0,1.0,Outer Sunset,1056.0,1031.0,,37.7632902,-122.50701370000002,1923,"37.7632902,-122.50701370000002"
207,Condo/Co-op,1314 Greenwich St,San Francisco,CA,94109,855000,1.0,1.0,San Francisco,,,525.0,37.800947799999996,-122.42141799999999,1924,"37.800947799999996,-122.42141799999999"
208,Single Family Residential,1324 Rhode Island St,San Francisco,CA,94107,4075000,4.0,4.0,Potrero Hill,3605.0,1130.0,,37.7529052,-122.40161840000002,1913,"37.7529052,-122.40161840000002"
209,Condo/Co-op,1635 California St #24,San Francisco,CA,94109,1099000,2.0,2.0,Nob Hill,915.0,1201.0,639.0,37.790183299999995,-122.4213456,2005,"37.790183299999995,-122.4213456"
210,Condo/Co-op,601 4th St #302,San Francisco,CA,94107,965000,1.0,1.0,South Beach,1026.0,941.0,576.0,37.7781631,-122.39577779999999,1918,"37.7781631,-122.39577779999999"
211,Condo/Co-op,1188 Valencia St #210,San Francisco,CA,94110,889000,1.0,1.0,Inner Mission,,,484.0,37.75392,-122.42101640000001,2018,"37.75392,-122.42101640000001"
212,Single Family Residential,661 Rockdale Dr,San Francisco,CA,94127,1325000,2.0,1.0,Miraloma Park,1150.0,1152.0,,37.740881200000004,-122.45077109999998,1930,"37.740881200000004,-122.45077109999998"
213,Condo/Co-op,53 Wilder St #403,San Francisco,CA,94131,1295000,2.0,2.0,Glen Park,1231.0,1052.0,688.0,37.7339803,-122.4336263,2006,"37.7339803,-122.4336263"
214,Condo/Co-op,1775 Broadway #8,SAN FRANCISCO,CA,94109,994500,1.0,1.0,SAN FRANCISCO,728.0,1366.0,662.0,37.795108,-122.426207,1925,"37.795108,-122.426207"
215,Condo/Co-op,301 Mission St Unit 33E,San Francisco,CA,94105,1995000,2.0,2.0,Yerba Buena,1714.0,1164.0,2670.0,37.7903824,-122.39615309999999,2009,"37.7903824,-122.39615309999999"
216,Multi-Family (2-4 Unit),2920 Gough St,San Francisco,CA,94123,3500000,4.0,3.0,Cow Hollow,3700.0,946.0,,37.8003671,-122.4274242,1937,"37.8003671,-122.4274242"
217,Single Family Residential,4412 17th St,San Francisco,CA,94114,2350000,3.0,2.5,Corona Heights,2073.0,1134.0,,37.762178000000006,-122.44373600000002,1907,"37.762178000000006,-122.44373600000002"
218,Multi-Family (2-4 Unit),1736-1738 Fell St,San Francisco,CA,94117,3495000,,,North Panhandle,6825.0,512.0,,37.7731919,-122.44670190000001,1900,"37.7731919,-122.44670190000001"
219,Condo/Co-op,158 Laidley St #3,San Francisco,CA,94131,895000,1.0,1.0,Glen Park,660.0,1356.0,268.0,37.7392008,-122.42895690000002,1960,"37.7392008,-122.42895690000002"
220,Condo/Co-op,1000 Pennsylvania Ave #12,San Francisco,CA,94107,1295000,2.0,3.0,Potrero Hill,1727.0,750.0,769.0,37.7539025,-122.3930979,2001,"37.7539025,-122.3930979"
221,Single Family Residential,2576 26th Ave,San Francisco,CA,94116,1128000,4.0,1.25,Parkside,2037.0,554.0,,37.7394617,-122.4827013,1931,"37.7394617,-122.4827013"
222,Single Family Residential,42 Meda Ave,SAN FRANCISCO,CA,94112,1309000,4.0,2.0,SAN FRANCISCO,1349.0,970.0,,37.72384279999999,-122.44167390000001,1916,"37.72384279999999,-122.44167390000001"
223,Single Family Residential,2956 19th Ave,SAN FRANCISCO,CA,94132,2098000,4.0,3.0,SAN FRANCISCO,2512.0,835.0,,37.733351500000005,-122.4747418,1936,"37.733351500000005,-122.4747418"
224,Single Family Residential,86 Fair Oaks St,San Francisco,CA,94110,2095000,2.0,1.0,Eureka Valley/Dolore,1740.0,1204.0,,37.755403799999996,-122.42459380000001,1908,"37.755403799999996,-122.42459380000001"
225,Condo/Co-op,765 Market St Ph 2CD,San Francisco,CA,94103,11000000,3.0,3.5,South of Market,3548.0,3100.0,5068.0,37.786097,-122.40416289999999,2001,"37.786097,-122.40416289999999"
226,Condo/Co-op,3418 26th St #11,San Francisco,CA,94110,719000,1.0,1.0,Inner Mission,,,570.0,37.7492018,-122.41898379999999,2014,"37.7492018,-122.41898379999999"
227,Single Family Residential,1407 Shafter Ave,San Francisco,CA,94124,950000,4.0,3.0,Bayview,,,,37.7288748,-122.38732399999999,1920,"37.7288748,-122.38732399999999"
228,Condo/Co-op,339 Presidio Ave,San Francisco,CA,94115,1825000,3.0,1.0,Presidio Heights,1553.0,1175.0,104.0,37.788509600000005,-122.44716799999999,1924,"37.788509600000005,-122.44716799999999"
229,Condo/Co-op,875 Vermont St #105,San Francisco,CA,94107,699000,1.0,1.0,Potrero Hill,,,184.0,37.7585731,-122.403654,nan,"37.7585731,-122.403654"
230,Condo/Co-op,756 Lake St,San Francisco,CA,94118,1750000,2.0,2.0,Lake,,,,37.7867145,-122.46775,nan,"37.7867145,-122.46775"
231,Single Family Residential,326 Hale St,SAN FRANCISCO,CA,94134,995000,2.0,2.0,SAN FRANCISCO,1416.0,703.0,,37.7314436,-122.4114479,1950,"37.7314436,-122.4114479"
232,Condo/Co-op,333 Beale St Unit 8A,San Francisco,CA,94105,998000,1.0,1.0,South Beach,873.0,1143.0,985.0,37.788493700000004,-122.3918797,2015,"37.788493700000004,-122.3918797"
